company,title,description,url,publishedAt,source,label,score,prob_negative,prob_neutral,prob_positive
Bitcoin,CME Group launches CFTC-regulated Solana and XRP options,CME has added SOL and XRP to its crypto derivatives offerings. The regulated products allow traders to choose between micro and standard contracts. Contracts are “physically settled” into their corresponding futures. The Chicago Mercantile Exchange Group has …,https://coinjournal.net/news/cme-group-launches-cftc-regulated-solana-and-xrp-options-market/,2025-10-13T17:00:36Z,Coinjournal.net,negative,0.9999674558639526,0.9999674558639526,2.90492462227121e-05,3.4184351989097195e-06
Bitcoin,WazirX’s Long Road Ends: Singapore Court Clears Way For User Crypto Distribution,"Indian exchange WazirX has received the greenlight from the Singapore High Court, paving way for users to finally get their crypto funds back. WazirX Restructuring Approved By Singapore High Court As announced by WazirX founder and CEO Nischal Shetty in an X …",https://bitcoinist.com/wazirxs-singapore-court-user-crypto-distribution/,2025-10-13T17:00:27Z,Bitcoinist,negative,0.9814913272857666,0.9814913272857666,0.018476855009794235,3.186398680554703e-05
Bitcoin,"Bitcoin shorts, whales, and the next move – Is a V-shaped rebound in play?",Is Bitcoin's rebound more than just a bear trap?,https://ambcrypto.com/bitcoin-shorts-whales-and-the-next-move-is-a-v-shaped-rebound-in-play/,2025-10-13T17:00:12Z,Ambcrypto.com,neutral,0.6517741084098816,0.3223332464694977,0.6517741084098816,0.025892656296491623
Bitcoin,"Price predictions 10/13: SPX, DXY, BTC, ETH, BNB, XRP, SOL, DOGE, ADA, HYPE","Bitcoin and the major altcoins witnessed solid buying at lower levels, but a sustained relief rally is unlikely as the bears are expected to sell at higher levels.",https://cointelegraph.com/news/price-predictions-10-13-spx-dxy-btc-eth-bnb-xrp-sol-doge-ada-hype,2025-10-13T16:57:00Z,Cointelegraph,neutral,0.9998241066932678,5.66131820960436e-05,0.9998241066932678,0.00011933777568629012
Bitcoin,Institutions Restart Heavy Buying After the Weekend Crypto Crash,"Bitmine announced its ETH holdings now exceed $3 million after it purchased over 202,000 ETH. Meanwhile, Strategy expanded its Bitcoin accumulation, raising over $27 million to buy 220 BTC.
These are just a few examples of how digital asset treasuries and lar…",https://biztoc.com/x/0e32c2f811c90415,2025-10-13T16:45:14Z,Biztoc.com,negative,0.9096670150756836,0.9096670150756836,0.09030240029096603,3.060042945435271e-05
Bitcoin,Strategy Bought $27M in Bitcoin at $123K Before Crypto Crash,", the world's largest corporate owner of bitcoin (BTC), appeared to miss out on capitalizing on last week's market rout to purchase the dip in prices.
According to Monday's press release, the firm bought 220 BTC at an average price of $123,561. The company us…",https://biztoc.com/x/28ba890aba8599c5,2025-10-13T16:44:59Z,Biztoc.com,negative,0.9972822666168213,0.9972822666168213,0.0005284494836814702,0.0021892343647778034
Bitcoin,Crypto Markets Today: Bitcoin and Altcoins Recover After $500B Crash,"The crypto market staged a recovery on Monday following the weekend's $500 billion bloodbath that resulted in a $10 billion drop in open interest.
Bitcoin (BTC) rose by 1.4% while ether (ETH) outperformed with a 2.5% gain. Synthetix (SNX), meanwhile, stole th…",https://biztoc.com/x/e4f6d24d9e85a829,2025-10-13T16:44:57Z,Biztoc.com,positive,0.5953821539878845,0.00011269257083768025,0.4045051634311676,0.5953821539878845
Bitcoin,Strategy Spent Another $27 Million on Bitcoin Before It Crashed,"Strategy purchased 220 Bitcoin for an average price of $123,500 last week, apparently ahead of the coin's price plunge on Friday.",https://decrypt.co/344067/strategy-spent-another-27-million-bitcoin-before-crash,2025-10-13T16:42:52Z,Decrypt,negative,0.9995871186256409,0.9995871186256409,0.00011274319695075974,0.00030014291405677795
Bitcoin,WazirX Secures Court Approval for Debt Restructuring Plan,The Singapore High Court has given the green light to the exchange's recovery scheme after 95.7% of creditors backed the plan.,https://decrypt.co/344084/wazirx-secures-court-approval-for-debt-restructuring-plan,2025-10-13T16:34:47Z,Decrypt,negative,0.8196977972984314,0.8196977972984314,0.18018321692943573,0.00011893206828972325
Bitcoin,Analysts warn of another crypto market crash today,"Friday, Oct. 10, witnessed the worst wipeout in the crypto market after President Donald Trump threatened to impose a 100% tariff on imports from China to the U.S.
The total crypto market capitalization fell from $4.1 trillion to $3.6 trillion within hours of…",https://biztoc.com/x/d589880d77c3b78e,2025-10-13T16:34:01Z,Biztoc.com,positive,0.9999198913574219,5.499899089045357e-06,7.460652705049142e-05,0.9999198913574219
Bitcoin,Bitcoin Price Crash Not Over? Analyst Predicts Another 30% Crash As Longs Pile Up Again,"Top crypto analyst Capo has indicated that the Bitcoin price crash is not over. This comes amid a rebound in the flagship crypto, which has climbed from the lows recorded during the recent crypto market crash.  Analyst Predicts 30% Drop For The Bitcoin Price …",http://www.newsbtc.com/news/bitcoin/bitcoin-price-crash-not-over-2/,2025-10-13T16:30:08Z,newsBTC,neutral,0.9894687533378601,0.0017115498194471002,0.9894687533378601,0.008819789625704288
Bitcoin,The Big Bitcoin Short: Who profited $200 million shorting BTC just before Trump’s post?,Rumors of insider trading dominated social media throughout the weekend as one wallet banked generational wealth in a single trade. Bitcoin price fell rapidly after President Trump posted plans on Friday to impose 100% tariffs on all Chinese imports effective…,https://cryptoslate.com/the-big-bitcoin-short-who-shorted-btc-before-trumps-tariff-post-to-bank-200-million/,2025-10-13T16:25:53Z,CryptoSlate,positive,0.8516727685928345,0.14732500910758972,0.0010022394126281142,0.8516727685928345
Bitcoin,Jeremy Siegel says China tariffs are temporary and the market could continue to 'new highs' if they're lifted,"The Wharton finance professor said if the levies are lifted, the market is likely to pass new milestones.",https://www.businessinsider.com/jeremy-siegel-china-tariffs-temporary-market-new-highs-2025-10,2025-10-13T16:25:02Z,Business Insider,negative,0.9836558103561401,0.9836558103561401,0.007097653113305569,0.009246488101780415
Bitcoin,BlackRock CEO Larry Fink: Bitcoin and Crypto 'Serve Same Purpose as Gold',"BlackRock CEO Larry Fink has once again reiterated cautious approval of crypto investments and walked back previous comments he made in October 2017 about Bitcoin being an “index of money laundering.”
Speaking with CBS on Sunday, Fink said that “I did say Bit…",https://biztoc.com/x/9c6991e89a6a8649,2025-10-13T16:23:05Z,Biztoc.com,negative,0.9999032020568848,0.9999032020568848,8.059898391366005e-06,8.865562995197251e-05
